machine_code,machine_name,factory_zone,temperature,vibration,energy_consumption,load_percentage,recorded_at,risk_level,reliability_score
M002,Assembly Line 02,Zone B,49.84,5.46,50.06,41.14,2026-05-01T14:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,71.53,5.83,99.43,68.5,2026-05-01T15:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,66.88,8.2,77.85,50.65,2026-05-01T16:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,105.43,10.28,160.08,54.77,2026-05-01T20:00:00.000+01:00,Critical,35
M001,Press Machine 01,Zone A,47.85,6.47,123.54,97.57,2026-05-01T22:00:00.000+01:00,Warning,55
M004,Welding Robot 04,Zone C,61.71,5.77,98.99,48.75,2026-05-02T00:00:00.000+01:00,Warning,55
M004,Welding Robot 04,Zone C,90.01,2.18,48.19,49.61,2026-05-02T04:00:00.000+01:00,Critical,35
M002,Assembly Line 02,Zone B,45.57,7.48,49.17,52.76,2026-05-02T05:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,64.69,3.88,110.61,95.05,2026-05-02T06:00:00.000+01:00,Warning,65
M005,Packaging Line 05,Zone B,89.66,6.11,138.37,63.77,2026-05-02T07:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,53.96,8.68,90.5,41.93,2026-05-02T09:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,89.91,5.7,95.86,42.27,2026-05-02T12:00:00.000+01:00,Warning,55
M004,Welding Robot 04,Zone C,91.68,4.63,97.41,40.41,2026-05-02T13:00:00.000+01:00,Critical,35
M001,Press Machine 01,Zone A,80.23,6.77,96.58,78.6,2026-05-02T14:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,46.09,8.42,104.52,44.24,2026-05-02T15:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,87.96,6.91,67.69,75.5,2026-05-02T16:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,106.58,10.1,78.67,45.52,2026-05-02T17:00:00.000+01:00,Critical,35
M005,Packaging Line 05,Zone B,60.49,2.74,149.84,97.05,2026-05-02T18:00:00.000+01:00,Warning,65
M002,Assembly Line 02,Zone B,82.89,7.38,138.38,49.28,2026-05-02T19:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,68.16,6.7,178.34,84.78,2026-05-02T20:00:00.000+01:00,Warning,55
M004,Welding Robot 04,Zone C,57.18,6.4,173.04,63.18,2026-05-02T21:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,67.54,6.09,147.94,40.34,2026-05-03T00:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,87.76,7.1,140.02,65.12,2026-05-03T01:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,65.39,5.96,33.88,94.61,2026-05-03T02:00:00.000+01:00,Warning,55
M004,Welding Robot 04,Zone C,66.77,6.8,33.59,45.01,2026-05-03T03:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,46.29,5.61,94.46,76.32,2026-05-03T04:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,83.85,8.65,125.16,57.08,2026-05-03T05:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,69.75,8.28,89.41,89.92,2026-05-03T07:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,87.19,6.17,150.41,67.56,2026-05-03T10:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,73.6,7.05,43.97,43.92,2026-05-03T12:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,79.08,5.34,72.16,67.66,2026-05-03T13:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,67.68,7.06,161.32,38.58,2026-05-03T14:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,58.02,7.02,101.23,70.39,2026-05-03T15:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,65.83,5.78,100.89,67.27,2026-05-03T16:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,66.26,5.16,96.49,94.31,2026-05-03T17:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,86.2,8.35,61.53,70.25,2026-05-03T18:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,78.2,8.75,84.61,61.54,2026-05-04T00:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,59.97,6.63,23.12,69.91,2026-05-04T01:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,50.3,8.16,56.57,90.21,2026-05-04T03:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,83.53,7.63,128.16,94.6,2026-05-04T05:00:00.000+01:00,Warning,55
M004,Welding Robot 04,Zone C,52.02,8.17,111.3,79.13,2026-05-04T06:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,58.12,7.24,49.34,91.4,2026-05-04T07:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,89.1,5.95,148.26,40.28,2026-05-04T08:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,48.13,7.73,92.6,56.37,2026-05-04T09:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,64.63,8.14,119.47,37.72,2026-05-04T10:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,89.09,8.56,61.9,46.41,2026-05-04T11:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,74.55,5.14,52.94,63.08,2026-05-04T12:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,57.71,7.27,179.12,37.33,2026-05-04T13:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,109.02,8.82,50.31,64.91,2026-05-04T14:00:00.000+01:00,Critical,35
