machine_code,machine_name,factory_zone,temperature,vibration,energy_consumption,load_percentage,recorded_at
M003,CNC Machine 03,Zone A,89.55,4.08,27.73,86.74,2026-05-01 08:00:00
M001,Press Machine 01,Zone A,62.19,1.45,101.19,37.36,2026-05-01 09:00:00
M004,Welding Robot 04,Zone C,64.65,2.88,108.17,38.72,2026-05-01 10:00:00
M005,Packaging Line 05,Zone B,50.82,2.74,120.39,94.71,2026-05-01 11:00:00
M005,Packaging Line 05,Zone B,72.52,1.39,55.37,70.07,2026-05-01 12:00:00
M002,Assembly Line 02,Zone B,58.61,2.13,38.85,54.43,2026-05-01 13:00:00
M002,Assembly Line 02,Zone B,49.84,5.46,50.06,41.14,2026-05-01 14:00:00
M001,Press Machine 01,Zone A,71.53,5.83,99.43,68.5,2026-05-01 15:00:00
M003,CNC Machine 03,Zone A,66.88,8.2,77.85,50.65,2026-05-01 16:00:00
M002,Assembly Line 02,Zone B,77.85,2.9,111.91,68.09,2026-05-01 17:00:00
M003,CNC Machine 03,Zone A,79.28,3.25,176.83,42.44,2026-05-01 18:00:00
M004,Welding Robot 04,Zone C,52.75,3.67,169.32,61.57,2026-05-01 19:00:00
M001,Press Machine 01,Zone A,105.43,10.28,160.08,54.77,2026-05-01 20:00:00
M005,Packaging Line 05,Zone B,82.45,1.54,34.98,52.01,2026-05-01 21:00:00
M001,Press Machine 01,Zone A,47.85,6.47,123.54,97.57,2026-05-01 22:00:00
M004,Welding Robot 04,Zone C,58.38,4.01,126.98,36.42,2026-05-01 23:00:00
M004,Welding Robot 04,Zone C,61.71,5.77,98.99,48.75,2026-05-02 00:00:00
M003,CNC Machine 03,Zone A,51.08,2.93,82.55,89.9,2026-05-02 01:00:00
M001,Press Machine 01,Zone A,52.82,4.13,64.45,43.63,2026-05-02 02:00:00
M004,Welding Robot 04,Zone C,85.61,3.17,86.45,57.6,2026-05-02 03:00:00
M004,Welding Robot 04,Zone C,90.01,2.18,48.19,49.61,2026-05-02 04:00:00
M002,Assembly Line 02,Zone B,45.57,7.48,49.17,52.76,2026-05-02 05:00:00
M002,Assembly Line 02,Zone B,64.69,3.88,110.61,95.05,2026-05-02 06:00:00
M005,Packaging Line 05,Zone B,89.66,6.11,138.37,63.77,2026-05-02 07:00:00
M005,Packaging Line 05,Zone B,63.44,4.11,36.57,74.96,2026-05-02 08:00:00
M001,Press Machine 01,Zone A,53.96,8.68,90.5,41.93,2026-05-02 09:00:00
M005,Packaging Line 05,Zone B,47.47,1.0,44.2,41.39,2026-05-02 10:00:00
M003,CNC Machine 03,Zone A,73.85,1.55,53.27,58.7,2026-05-02 11:00:00
M003,CNC Machine 03,Zone A,89.91,5.7,95.86,42.27,2026-05-02 12:00:00
M004,Welding Robot 04,Zone C,91.68,4.63,97.41,40.41,2026-05-02 13:00:00
M001,Press Machine 01,Zone A,80.23,6.77,96.58,78.6,2026-05-02 14:00:00
M005,Packaging Line 05,Zone B,46.09,8.42,104.52,44.24,2026-05-02 15:00:00
M005,Packaging Line 05,Zone B,87.96,6.91,67.69,75.5,2026-05-02 16:00:00
M001,Press Machine 01,Zone A,106.58,10.1,78.67,45.52,2026-05-02 17:00:00
M005,Packaging Line 05,Zone B,60.49,2.74,149.84,97.05,2026-05-02 18:00:00
M002,Assembly Line 02,Zone B,82.89,7.38,138.38,49.28,2026-05-02 19:00:00
M005,Packaging Line 05,Zone B,68.16,6.7,178.34,84.78,2026-05-02 20:00:00
M004,Welding Robot 04,Zone C,57.18,6.4,173.04,63.18,2026-05-02 21:00:00
M003,CNC Machine 03,Zone A,89.89,3.84,55.27,49.29,2026-05-02 22:00:00
M002,Assembly Line 02,Zone B,60.87,4.76,177.64,73.45,2026-05-02 23:00:00
M001,Press Machine 01,Zone A,67.54,6.09,147.94,40.34,2026-05-03 00:00:00
M001,Press Machine 01,Zone A,87.76,7.1,140.02,65.12,2026-05-03 01:00:00
M002,Assembly Line 02,Zone B,65.39,5.96,33.88,94.61,2026-05-03 02:00:00
M004,Welding Robot 04,Zone C,66.77,6.8,33.59,45.01,2026-05-03 03:00:00
M002,Assembly Line 02,Zone B,46.29,5.61,94.46,76.32,2026-05-03 04:00:00
M005,Packaging Line 05,Zone B,83.85,8.65,125.16,57.08,2026-05-03 05:00:00
M005,Packaging Line 05,Zone B,70.77,1.17,147.9,80.76,2026-05-03 06:00:00
M001,Press Machine 01,Zone A,69.75,8.28,89.41,89.92,2026-05-03 07:00:00
M002,Assembly Line 02,Zone B,46.32,2.66,100.19,83.11,2026-05-03 08:00:00
M003,CNC Machine 03,Zone A,57.19,4.27,40.97,92.33,2026-05-03 09:00:00
M003,CNC Machine 03,Zone A,87.19,6.17,150.41,67.56,2026-05-03 10:00:00
M005,Packaging Line 05,Zone B,51.15,2.18,101.69,89.99,2026-05-03 11:00:00
M002,Assembly Line 02,Zone B,73.6,7.05,43.97,43.92,2026-05-03 12:00:00
M005,Packaging Line 05,Zone B,79.08,5.34,72.16,67.66,2026-05-03 13:00:00
M005,Packaging Line 05,Zone B,67.68,7.06,161.32,38.58,2026-05-03 14:00:00
M002,Assembly Line 02,Zone B,58.02,7.02,101.23,70.39,2026-05-03 15:00:00
M001,Press Machine 01,Zone A,65.83,5.78,100.89,67.27,2026-05-03 16:00:00
M003,CNC Machine 03,Zone A,66.26,5.16,96.49,94.31,2026-05-03 17:00:00
M005,Packaging Line 05,Zone B,86.2,8.35,61.53,70.25,2026-05-03 18:00:00
M002,Assembly Line 02,Zone B,84.48,2.07,39.46,62.85,2026-05-03 19:00:00
M001,Press Machine 01,Zone A,76.54,4.34,54.03,54.08,2026-05-03 20:00:00
M001,Press Machine 01,Zone A,87.16,2.2,134.58,76.6,2026-05-03 21:00:00
M002,Assembly Line 02,Zone B,56.9,2.07,94.84,82.04,2026-05-03 22:00:00
M001,Press Machine 01,Zone A,63.72,4.8,178.38,87.44,2026-05-03 23:00:00
